GENE	ENTREZ ID
KWMTBOMO00001	101745414
KWMTBOMO00002	101742912
KWMTBOMO00003	101741181
KWMTBOMO00004	101739479
KWMTBOMO00005	101739479
KWMTBOMO00006	101741407
KWMTBOMO00007	101739615
KWMTBOMO00008	101736731
KWMTBOMO00010	101736731
KWMTBOMO00011	101741740
KWMTBOMO00012	105842496
KWMTBOMO00014	105841774
KWMTBOMO00015	101739758
KWMTBOMO00016	101741101
KWMTBOMO00017	105841884
KWMTBOMO00019	100384889
KWMTBOMO00020	101742318
KWMTBOMO00021	732936
KWMTBOMO00022	101742469
KWMTBOMO00023	101740028
KWMTBOMO00024	101740159
KWMTBOMO00025	101742610
KWMTBOMO00026	101742956
KWMTBOMO00027	101740430
KWMTBOMO00028	101743052
KWMTBOMO00029	101742910
KWMTBOMO00030	101740430
KWMTBOMO00031	101740565
KWMTBOMO00032	105841478
KWMTBOMO00033	101743283
KWMTBOMO00034	101744263
KWMTBOMO00035	105841899
KWMTBOMO00036	101740839
KWMTBOMO00037	101743424
KWMTBOMO00038	105841867
KWMTBOMO00039	101743564
KWMTBOMO00040	101741126
KWMTBOMO00041	101741126
KWMTBOMO00042	101743705
KWMTBOMO00043	101744004
KWMTBOMO00044	101743858
KWMTBOMO00045	101744149
KWMTBOMO00046	101738020
KWMTBOMO00047	101744289
KWMTBOMO00048	100101184
KWMTBOMO00050	101741268
KWMTBOMO00051	101744433
KWMTBOMO00052	101744817
KWMTBOMO00053	100270783
KWMTBOMO00054	101741803
KWMTBOMO00055	105841266
KWMTBOMO00056	101741691
KWMTBOMO00057	101736132
KWMTBOMO00058	105841788
KWMTBOMO00059	100579140
KWMTBOMO00060	105842517
KWMTBOMO00061	105841232
KWMTBOMO00062	101744763
KWMTBOMO00064	101745111
KWMTBOMO00065	101745262
KWMTBOMO00067	101745405
KWMTBOMO00068	100328579
KWMTBOMO00069	101742128
KWMTBOMO00070	105841478
KWMTBOMO00071	105841502
KWMTBOMO00072	105842112
KWMTBOMO00073	101745414
KWMTBOMO00074	101742625
KWMTBOMO00075	101737659
KWMTBOMO00076	692429
KWMTBOMO00077	101744840
KWMTBOMO00078	101742420
KWMTBOMO00079	101745928
KWMTBOMO00080	101742566
KWMTBOMO00081	101746314
KWMTBOMO00082	105842396
KWMTBOMO00083	101746314
KWMTBOMO00084	101746452
KWMTBOMO00085	101746452
KWMTBOMO00086	101746594
KWMTBOMO00087	101746820
KWMTBOMO00088	101746820
KWMTBOMO00089	101742707
KWMTBOMO00090	101742856
KWMTBOMO00091	101742998
KWMTBOMO00092	101739801
KWMTBOMO00093	105842500
KWMTBOMO00094	101746961
KWMTBOMO00095	101741528
KWMTBOMO00096	100750224
KWMTBOMO00097	101735670
KWMTBOMO00098	101735897
KWMTBOMO00099	101736024
KWMTBOMO00100	101743284
KWMTBOMO00101	101741101
KWMTBOMO00102	101743425
KWMTBOMO00103	101736161
KWMTBOMO00104	101736377
KWMTBOMO00105	101736593
KWMTBOMO00106	101736825
KWMTBOMO00107	101745853
KWMTBOMO00108	101736825
KWMTBOMO00109	101743706
KWMTBOMO00110	101737036
KWMTBOMO00111	692399
KWMTBOMO00112	692399
KWMTBOMO00113	101737315
KWMTBOMO00114	101744003
KWMTBOMO00115	101744290
KWMTBOMO00116	101737659
KWMTBOMO00117	105841788
KWMTBOMO00118	101744290
KWMTBOMO00119	101744434
KWMTBOMO00120	101744584
KWMTBOMO00121	101737320
KWMTBOMO00122	101737462
KWMTBOMO00123	101737605
KWMTBOMO00124	101744726
KWMTBOMO00125	105841478
KWMTBOMO00126	100174942
KWMTBOMO00127	101737840
KWMTBOMO00128	101737973
KWMTBOMO00129	101737973
KWMTBOMO00130	101744871
KWMTBOMO00131	101744871
KWMTBOMO00133	101745010
KWMTBOMO00135	101745159
KWMTBOMO00136	101736731
KWMTBOMO00137	101745159
KWMTBOMO00138	101735568
KWMTBOMO00139	101745159
KWMTBOMO00140	101745445
KWMTBOMO00141	101738102
KWMTBOMO00143	101738267
KWMTBOMO00144	101738460
KWMTBOMO00145	101738460
KWMTBOMO00146	101738591
KWMTBOMO00147	732866
KWMTBOMO00148	101738820
KWMTBOMO00149	100101184
KWMTBOMO00150	105841253
KWMTBOMO00151	101739052
KWMTBOMO00152	101739198
KWMTBOMO00153	101745741
KWMTBOMO00154	101739335
KWMTBOMO00155	101745886
KWMTBOMO00156	100616528
KWMTBOMO00157	105842510
KWMTBOMO00158	101746164
KWMTBOMO00159	733108
KWMTBOMO00160	101746595
KWMTBOMO00161	105841788
KWMTBOMO00162	101737659
KWMTBOMO00163	105841788
KWMTBOMO00164	105841548
KWMTBOMO00165	101738352
KWMTBOMO00166	101738623
KWMTBOMO00167	101738756
KWMTBOMO00168	101741444
KWMTBOMO00169	101741679
KWMTBOMO00170	101741822
KWMTBOMO00171	100174848
KWMTBOMO00172	101739187
KWMTBOMO00173	101738666
KWMTBOMO00174	101739187
KWMTBOMO00175	101739187
KWMTBOMO00176	101741973
KWMTBOMO00177	101742113
KWMTBOMO00178	100329155
KWMTBOMO00179	100329155
KWMTBOMO00180	105841231
KWMTBOMO00181	101742407
KWMTBOMO00182	101742896
KWMTBOMO00183	105842112
KWMTBOMO00184	100141467
KWMTBOMO00185	105842112
KWMTBOMO00186	100141461
KWMTBOMO00187	100141455
KWMTBOMO00188	100141463
KWMTBOMO00189	100141454
KWMTBOMO00190	692378
KWMTBOMO00191	100049060
KWMTBOMO00192	100141466
KWMTBOMO00193	100101184
KWMTBOMO00194	101739467
KWMTBOMO00195	100141464
KWMTBOMO00196	100141462
KWMTBOMO00197	100141462
KWMTBOMO00198	101739607
KWMTBOMO00199	100141458
