PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed Bomo_genome_assembly_chr.fa -gid -gtf Bomo_gene_models_chr.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_28310	chr26	5382289	5382643	+	0		Intergenic	Intergenic	-12370	KWMTBOMO15659	KWMTBOMO15659	KWMTBOMO15659.mrna1						
Interval_10517	chr15	12760639	12761212	+	0		exon (KWMTBOMO09183, exon 1 of 17)	-exon (KWMTBOMO09183, exon 1 of 17)	160	KWMTBOMO09183	KWMTBOMO09183	KWMTBOMO09183.mrna1						
Interval_41812	chr8	14357444	14358846	+	0		promoter-TSS (KWMTBOMO04761)	-promoter-TSS (KWMTBOMO04761)	-439	KWMTBOMO04762	KWMTBOMO04762	KWMTBOMO04762.mrna1						
Interval_4987	chr12	8949910	8950911	+	0		Intergenic	Intergenic	-5471	KWMTBOMO07241	KWMTBOMO07241	KWMTBOMO07241.mrna1						
Interval_27225	chr25	7012973	7013510	+	0		Intergenic	Intergenic	-5658	KWMTBOMO15220	KWMTBOMO15220	KWMTBOMO15220.mrna1						
Interval_19282	chr20	7461432	7462290	+	0		intron (KWMTBOMO12104, intron 1 of 9)	-intron (KWMTBOMO12104, intron 1 of 9)	193	KWMTBOMO12104	KWMTBOMO12104	KWMTBOMO12104.mrna1						
Interval_27963	chr26	1799034	1799431	+	0		Intergenic	Intergenic	-4164	KWMTBOMO15523	KWMTBOMO15523	KWMTBOMO15523.mrna1						
Interval_19396	chr20	8596804	8597650	+	0		Intergenic	Intergenic	-4580	KWMTBOMO12165	KWMTBOMO12165	KWMTBOMO12165.mrna1						
Interval_34130	chr4	9518505	9519256	+	0		Intergenic	Intergenic	17864	KWMTBOMO01994	KWMTBOMO01994	KWMTBOMO01994.mrna1						
Interval_19234	chr20	6888999	6890329	+	0		Intergenic	Intergenic	13652	KWMTBOMO12078	KWMTBOMO12078	KWMTBOMO12078.mrna1						
